bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.5173,,,,,,,,,,,,831fe0f5-50ef-4ee1-93b1-bcd2e0a634cb,5,,"[60.0, 40.0]",69276,0,,,,,1.4288993,,Left Foot,,,,"[60.1, 40.7]",,Ground Pass,,0.70710677,,,,,Lionel Andrés Messi Cuccittini,,,,,,Kick Off,1,From Kick Off,David Villa Sánchez,12737.0,Left Wing,2,Barcelona,217,['e947ae69-269b-4211-8b6f-b88d8db841fe'],1,,,,,,,,,,,,,,,Barcelona,00:00:01.356,Pass,
,,,,,,,,,,,,,,,,,,1.5594,,,,,,,,,,,,1dcab32d-d00a-43f2-b356-ff837aeb7f8c,7,,"[59.9, 40.1]",69276,0,,,,,-3.0555115,,Right Foot,,,,"[40.2, 38.4]",,Ground Pass,,19.773214,,,,,Sergio Busquets i Burgos,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['5fc2e2bb-7c3e-48dd-bad4-7eef2ac56abc'],2,,,,,,,,,,,,,,,Barcelona,00:00:02.873,Pass,
,,,,,,,,,,,,,,,,,,1.8014,,,,,,,,,,,,14b416cf-35c3-4887-9047-8d9f3692c673,10,,"[40.8, 38.4]",69276,0,,,,,1.5771253,,Right Foot,,,,"[40.6, 70.0]",,Ground Pass,,31.600634,,,,,Daniel Alves da Silva,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['264abe8e-be4e-4486-8371-9e3fef84805e'],4,,,,,,,,,,,,,,,Barcelona,00:00:04.978,Pass,
,,,,,,,,,,,,,,,,,,1.5105,,,,,,,,,,,,a6af5038-128e-481f-9aa6-a9f33796d876,13,,"[40.6, 70.0]",69276,0,,,,,-2.146915,,Right Foot,,,,"[31.7, 56.3]",,Ground Pass,,16.337074,,,,,Gerard Piqué Bernabéu,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['fb5598dd-c6d9-462d-b073-8b8feca2edd4'],7,,,,,,,,,,,,,,,Barcelona,00:00:07.627,Pass,
,,,,,,,,,,,,,,,,,,1.8248,,,,,,,,,,,,006ba2dc-38ce-46e6-8310-bbe0fb0dc71f,16,,"[30.9, 55.1]",69276,0,,,,,-1.4487895,,Right Foot,,,,"[35.4, 18.4]",,Ground Pass,,36.974857,,,,,Eric-Sylvain Bilal Abidal,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['89389726-a736-4b89-8dd4-e63f0f5decd3'],10,,,,,,,,,,,,,,,Barcelona,00:00:10.311,Pass,
,,,,,,,,,,,,,,,,,,1.2528,,,,,,,,,,,,a8a9ca60-3998-4bb7-b26c-bfebe2e24b82,20,,"[65.3, 25.2]",69276,0,,,,,1.7044969,,Left Foot,,,,"[63.0, 42.3]",,Ground Pass,,17.253984,,,,,Xavier Hernández Creus,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,2,Barcelona,217,['657d4215-0ab7-49dd-b84f-7ab0eff5e959'],16,,,,,,,,,,,,,,,Barcelona,00:00:16.676,Pass,
,,,,,,,,,,,,,,,,,,1.5085,,,,,,,,,,,,93e9d599-d414-42b2-836a-e0efd1bee98e,24,,"[63.6, 44.6]",69276,0,,,,,1.4067899,,Right Foot,,,,"[68.3, 73.0]",,Ground Pass,,28.786282,,,,,Daniel Alves da Silva,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['94da0d2b-8e87-47b1-bf55-9ab06a8b7e22'],19,,,,,,,,,,,,,,,Barcelona,00:00:19.701,Pass,
,,,,,,,,,,,,,,,,,,0.6751,,,,,,,,,,,,f43e20ff-f85b-4b50-8b62-6e34bfaf791f,28,,"[69.0, 69.9]",69276,0,,,,,-0.646631,,Right Foot,,,,"[79.2, 62.2]",,Ground Pass,,12.780063,,,,,Xavier Hernández Creus,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,"['172a914f-fc5b-4f80-9ce4-4c9c47e8f029', 'b6fc1cf2-a260-4393-bab7-35a7ac810e7c']",21,,,,,,,,,,,,,,,Barcelona,00:00:21.762,Pass,True
,,,,,,,,,,,,,,,,,,0.6923,,,,,,,,,,,,4a5a0a24-aef1-4b04-b7c5-6fa72b63b049,35,,"[44.9, 13.6]",69276,0,,,,,-2.6779451,,Other,,,,"[36.9, 9.6]",,Low Pass,,8.944272,,,,,Tiago Cardoso Mendes,,,,,,Recovery,1,Regular Play,Filipe Luís Kasmirski,6320.0,Left Wing,3,Atlético Madrid,212,"['adb4a3fc-d3d3-4a5c-a19d-ead7b7a8e632', 'e58a4567-7c81-4bdd-ae6a-292dacde297d']",23,,,,,,,,,,,,,,,Atlético Madrid,00:00:23.913,Pass,True
,,,,,,,,,,,,,,,,,,1.0114,,,,,,,,,,,,192b27d0-508a-4c52-9a04-1d70de783d27,38,,"[36.9, 9.6]",69276,0,,,,,0.098273955,,Right Foot,,,,"[51.1, 11.0]",,Low Pass,,14.268847,,,,,Francisco Mérida Pérez,,,,,,,1,Regular Play,Tiago Cardoso Mendes,20669.0,Left Defensive Midfield,3,Atlético Madrid,212,['4a2a902e-f8b5-4792-9e87-702156345b75'],24,,,,,,,,,,,,,,,Atlético Madrid,00:00:24.646,Pass,
,,,,,,,,,,,,,,,,,,0.7983,,,,,,,,,,,,8cfdf8d7-93e4-4e7a-be29-8a7e8a0b2d81,41,,"[49.1, 9.6]",69276,0,,,,,2.490516,,Left Foot,,,,"[44.9, 12.8]",,Ground Pass,,5.2801514,,,,,Filipe Luís Kasmirski,,,,,,,1,Regular Play,Francisco Mérida Pérez,23931.0,Center Attacking Midfield,3,Atlético Madrid,212,"['c8670da6-ca47-44af-bacb-15986152112f', 'dc6a238c-07c8-4c99-ae00-30b31d0ce85e']",25,,,,,,,,,,,,,,,Atlético Madrid,00:00:25.657,Pass,True
