match_id,location,minute,player,position,possession_team,shot_statsbomb_xg,shot_outcome,team,timestamp,type
7530,"[114.0, 56.0]",1,Kylian Mbappé Lottin,Right Wing,France,0.011586021,Saved,France,00:01:31.769,Shot
7530,"[94.0, 28.0]",4,Paul Pogba,Left Center Midfield,France,0.050655685,Saved,France,00:04:11.956,Shot
7530,"[95.0, 43.0]",5,Antoine Griezmann,Center Forward,France,0.054453943,Saved,France,00:05:37.596,Shot
7530,"[109.0, 31.0]",7,Antoine Griezmann,Center Forward,France,0.33887884,Blocked,France,00:07:47.716,Shot
7530,"[110.0, 34.0]",11,Mathew Leckie,Right Midfield,Australia,0.06711661,Off T,Australia,00:11:50.476,Shot
7530,"[105.0, 32.0]",16,Mathew Leckie,Right Midfield,Australia,0.072877616,Saved,Australia,00:16:43.156,Shot
7530,"[109.0, 26.0]",32,Lucas Hernández Pi,Left Back,France,0.064092785,Blocked,France,00:32:34.489,Shot
7530,"[101.0, 21.0]",44,Aziz Eraltay Behich,Left Back,Australia,0.012084869,Off T,Australia,00:44:52.396,Shot
7530,"[108.0, 40.0]",57,Antoine Griezmann,Center Forward,France,0.7835,Goal,France,00:12:09.720,Shot
7530,"[104.0, 37.0]",58,Antoine Griezmann,Center Forward,France,0.09026888,Blocked,France,00:13:24.920,Shot
7530,"[104.0, 43.0]",58,Antoine Griezmann,Center Forward,France,0.06915687,Off T,France,00:13:26.920,Shot
7530,"[109.0, 41.0]",61,Mile Jedinak,Right Center Midfield,Australia,0.7835,Goal,Australia,00:16:16.680,Shot
7530,"[86.0, 30.0]",68,Samuel Yves Umtiti,Left Center Back,France,0.007040045,Blocked,France,00:23:26.640,Shot
7530,"[95.0, 42.0]",71,Benjamin Pavard,Right Back,France,0.030792372,Off T,France,00:26:56.600,Shot
7530,"[100.0, 31.0]",83,Lucas Hernández Pi,Left Back,France,0.05179903,Off T,France,00:38:31.800,Shot
7530,"[100.0, 63.0]",87,Nabil Fekir,Left Wing,France,0.009332593,Blocked,France,00:42:30.600,Shot
7530,"[97.0, 47.0]",93,Josh Risdon,Right Back,Australia,0.044451967,Blocked,Australia,00:48:56.640,Shot
7532,"[87.0, 57.0]",4,Luis Jan Piers Advíncula Castrillón,Right Back,Peru,0.0069104647,Off T,Peru,00:04:52.880,Shot
7532,"[84.0, 24.0]",7,Víctor Yoshimar Yotún Flores,Left Center Midfield,Peru,0.005467236,Saved,Peru,00:07:11.200,Shot
7532,"[87.0, 41.0]",10,Édison Michael Flores Peralta,Left Wing,Peru,0.022084096,Off T,Peru,00:10:49.880,Shot
7532,"[103.0, 58.0]",12,André Martín Carrillo Díaz,Right Wing,Peru,0.02998372,Saved,Peru,00:12:06.040,Shot
7532,"[86.0, 43.0]",13,Renato Fabrizio Tapia Cortijo,Right Center Midfield,Peru,0.016538767,Blocked,Peru,00:13:35.120,Shot
7532,"[107.0, 37.0]",14,Alberto Junior Rodríguez Valdelomar,Left Center Back,Peru,0.059586205,Wayward,Peru,00:14:11.080,Shot
7532,"[113.0, 26.0]",19,Pione Sisto Ifolo Emirmija,Left Wing,Denmark,0.055096734,Blocked,Denmark,00:19:37.360,Shot
7532,"[88.0, 36.0]",26,Thomas Delaney,Left Center Midfield,Denmark,0.037667256,Off T,Denmark,00:26:22.293,Shot
7532,"[108.0, 51.0]",28,Jefferson Agustín Farfán Guadalupe,Center Forward,Peru,0.10626122,Blocked,Peru,00:28:21.733,Shot
7532,"[100.0, 52.0]",38,Christian Dannemann Eriksen,Center Attacking Midfield,Denmark,0.07605611,Blocked,Denmark,00:38:46.520,Shot
7532,"[94.0, 43.0]",38,Lasse Schöne,Right Center Midfield,Denmark,0.024234127,Saved,Denmark,00:38:48.573,Shot
7532,"[102.0, 24.0]",40,Thomas Delaney,Left Center Midfield,Denmark,0.032256115,Off T,Denmark,00:40:45.000,Shot
7532,"[108.0, 40.0]",45,Christian Alberto Cueva Bravo,Center Attacking Midfield,Peru,0.7835,Off T,Peru,00:45:42.240,Shot
7532,"[115.0, 45.0]",46,Yussuf Yurary Poulsen,Right Wing,Denmark,0.09912568,Off T,Denmark,00:46:59.120,Shot
7532,"[110.0, 60.0]",49,Jefferson Agustín Farfán Guadalupe,Center Forward,Peru,0.0068373373,Blocked,Peru,00:04:55.640,Shot
7532,"[90.0, 36.0]",50,Jens Stryger Larsen,Left Back,Denmark,0.019323658,Off T,Denmark,00:05:28.453,Shot
7532,"[103.0, 59.0]",52,Christian Dannemann Eriksen,Center Attacking Midfield,Denmark,0.009715938,Off T,Denmark,00:07:54.053,Shot
7532,"[114.0, 50.0]",56,Édison Michael Flores Peralta,Left Wing,Peru,0.077727586,Off T,Peru,00:11:02.440,Shot
7532,"[108.0, 28.0]",58,Yussuf Yurary Poulsen,Right Wing,Denmark,0.24699534,Goal,Denmark,00:13:32.040,Shot
7532,"[108.0, 29.0]",60,Édison Michael Flores Peralta,Left Wing,Peru,0.12293178,Saved,Peru,00:15:07.920,Shot
7532,"[113.0, 41.0]",63,José Paolo Guerrero Gonzáles,Left Wing,Peru,0.17922288,Saved,Peru,00:18:37.240,Shot
7532,"[113.0, 50.0]",68,Alberto Junior Rodríguez Valdelomar,Left Center Back,Peru,0.072114944,Off T,Peru,00:23:19.600,Shot
7532,"[109.0, 59.0]",72,Luis Jan Piers Advíncula Castrillón,Right Back,Peru,0.010184116,Saved,Peru,00:27:06.080,Shot
7532,"[112.0, 40.0]",78,José Paolo Guerrero Gonzáles,Left Wing,Peru,0.13312599,Off T,Peru,00:33:28.240,Shot
7532,"[104.0, 49.0]",81,Nicolai Jørgensen,Center Forward,Denmark,0.11509085,Blocked,Denmark,00:36:45.720,Shot
7532,"[108.0, 43.0]",83,Jefferson Agustín Farfán Guadalupe,Center Forward,Peru,0.1773644,Saved,Peru,00:38:20.200,Shot
7532,"[105.0, 32.0]",85,Christian Dannemann Eriksen,Center Attacking Midfield,Denmark,0.40600583,Saved,Denmark,00:40:25.640,Shot
7532,"[112.0, 41.0]",94,José Paolo Guerrero Gonzáles,Left Wing,Peru,0.11653745,Wayward,Peru,00:49:02.240,Shot
7546,"[96.0, 43.0]",1,Édison Michael Flores Peralta,Left Midfield,Peru,0.04638079,Blocked,Peru,00:01:31.233,Shot
7546,"[62.0, 36.0]",5,Víctor Yoshimar Yotún Flores,Left Defensive Midfield,Peru,0.002964359,Off T,Peru,00:05:46.740,Shot
7546,"[114.0, 54.0]",10,Antoine Griezmann,Center Attacking Midfield,France,0.040895715,Off T,France,00:10:02.580,Shot
7546,"[88.0, 54.0]",11,Paul Pogba,Left Center Midfield,France,0.009108837,Off T,France,00:11:06.580,Shot
7546,"[115.0, 34.0]",13,Raphaël Varane,Right Center Back,France,0.10144759,Off T,France,00:13:44.500,Shot
7546,"[102.0, 51.0]",15,Antoine Griezmann,Center Attacking Midfield,France,0.051455326,Saved,France,00:15:19.700,Shot
7546,"[97.0, 27.0]",23,Édison Michael Flores Peralta,Left Midfield,Peru,0.027215322,Off T,Peru,00:23:24.713,Shot
7546,"[110.0, 33.0]",30,José Paolo Guerrero Gonzáles,Center Forward,Peru,0.20325628,Saved,Peru,00:30:16.260,Shot
7546,"[112.0, 38.0]",32,Kylian Mbappé Lottin,Right Wing,France,0.27977735,Saved,France,00:32:51.460,Shot
7546,"[109.0, 29.0]",33,Olivier Giroud,Center Forward,France,0.09246414,Blocked,France,00:33:36.340,Shot
7546,"[119.0, 41.0]",33,Kylian Mbappé Lottin,Right Wing,France,0.9293175,Goal,France,00:33:37.993,Shot
7546,"[109.0, 27.0]",42,Lucas Hernández Pi,Left Back,France,0.053871572,Saved,France,00:42:22.780,Shot
7546,"[112.0, 29.0]",42,Lucas Hernández Pi,Left Back,France,0.115647,Off T,France,00:42:24.860,Shot
7546,"[93.0, 39.0]",49,Pedro Jesús Aquino Sánchez,Right Defensive Midfield,Peru,0.032040957,Post,Peru,00:04:53.200,Shot
7546,"[101.0, 30.0]",57,Christian Alberto Cueva Bravo,Left Wing,Peru,0.049853675,Blocked,Peru,00:12:30.480,Shot
7546,"[94.0, 37.0]",60,André Martín Carrillo Díaz,Right Wing,Peru,0.03232524,Off T,Peru,00:15:41.240,Shot
7546,"[105.0, 40.0]",66,José Paolo Guerrero Gonzáles,Center Forward,Peru,0.10677668,Wayward,Peru,00:21:31.640,Shot
7546,"[98.0, 61.0]",67,Luis Jan Piers Advíncula Castrillón,Right Back,Peru,0.009771249,Off T,Peru,00:22:04.680,Shot
7546,"[116.0, 29.0]",73,Jefferson Agustín Farfán Guadalupe,Center Attacking Midfield,Peru,0.046855085,Off T,Peru,00:28:22.440,Shot
7546,"[105.0, 44.0]",81,Ousmane Dembélé,Right Wing,France,0.07033722,Off T,France,00:36:07.200,Shot
7546,"[87.0, 43.0]",87,José Paolo Guerrero Gonzáles,Center Forward,Peru,0.02880108,Saved,Peru,00:42:01.720,Shot
7546,"[97.0, 40.0]",91,Blaise Matuidi,Left Wing,France,0.039226346,Off T,France,00:46:26.160,Shot
7546,"[107.0, 30.0]",92,José Paolo Guerrero Gonzáles,Center Forward,Peru,0.038980518,Off T,Peru,00:47:35.600,Shot
7546,"[106.0, 32.0]",93,Olivier Giroud,Center Forward,France,0.07983788,Blocked,France,00:48:46.520,Shot
7547,"[114.0, 38.0]",1,Thomas Delaney,Left Defensive Midfield,Denmark,0.19775419,Off T,Denmark,00:01:41.200,Shot
7547,"[101.0, 53.0]",4,Tom Rogić,Secondary Striker,Australia,0.024034739,Blocked,Australia,00:04:12.200,Shot
7547,"[113.0, 42.0]",4,Mathew Leckie,Right Wing,Australia,0.13728113,Off T,Australia,00:04:48.200,Shot
7547,"[104.0, 39.0]",6,Christian Dannemann Eriksen,Center Attacking Midfield,Denmark,0.1393918,Goal,Denmark,00:06:07.640,Shot
7547,"[88.0, 38.0]",21,Pione Sisto Ifolo Emirmija,Left Wing,Denmark,0.026401442,Saved,Denmark,00:21:22.840,Shot
7547,"[93.0, 33.0]",22,Tom Rogić,Secondary Striker,Australia,0.029915893,Off T,Australia,00:22:26.880,Shot
7547,"[113.0, 42.0]",23,Nicolai Jørgensen,Center Forward,Denmark,0.22533564,Off T,Denmark,00:23:37.160,Shot
7547,"[111.0, 44.0]",29,Robbie Kruse,Left Wing,Australia,0.09697945,Blocked,Australia,00:29:54.160,Shot
7547,"[92.0, 40.0]",29,Aaron Mooy,Right Center Midfield,Australia,0.02370917,Blocked,Australia,00:29:56.480,Shot
7547,"[110.0, 41.0]",35,Mathew Leckie,Right Wing,Australia,0.06497701,Blocked,Australia,00:35:15.400,Shot
7547,"[109.0, 41.0]",37,Mile Jedinak,Left Center Midfield,Australia,0.7835,Goal,Australia,00:37:56.040,Shot
7547,"[108.0, 32.0]",42,Jens Stryger Larsen,Left Back,Denmark,0.085312515,Saved,Denmark,00:42:05.840,Shot
